"ID","COMMUNE","Zone","EMP","Coordonnées GPS","Nom emp fr","Nom de l'emplacement","CT","CB","CS","Caisson","VIDANGE CT","IT B 1","IT B 2","IT B 3","IT CS 1","IT CS 2","IT CS 3"
"148","KSAR","KS1","KS1-18","N 18°06.2920' W 015°57.5250'","Carrefour Chrive","كرفور الشريف","","1","","CB","","30","","","","",""
"149","KSAR","KS1","KS1-19","N 18°06.3459' W 015°57.2719'","ECOLE 2","المدرسة 2","","1","","CB","","22","","","","",""
"150","KSAR","KS1","KS1-20","N 18°06.1226' W 015°57.3307'","ECOLE 1","المدرسة 1","","1","","CB","","20","","","","",""
"151","KSAR","KS1","KS1-21","N 18°06.8100' W 015°56.8078'","REBINET BOUGEFFE","حنفية بو كفه","","1","","CB","","26","","","","",""
"152","KSAR","KS1","KS1-22","N 18°04.8244' W 015°57.8782'","KARREFOUR MADRID","كرفور مدريد","","1","","CB","","1","","","","",""
"153","KSAR","KS1","KS1-23","N 18°06.0986' W 015°58.0475'","MARCHE DES FEMMES","سوق النساء","","1","","CB","","32","","","","",""
"154","KSAR","KS1","KS1-24","N 18°06.1405' W 015°58.3606'","HOTEL WISSAL","فندق وصال","","1","","CB","","34","","","","",""
"155","KSAR","KS1","KS1-25","N 18°06.4383' W 015°58.3401'","STATION PETRODIS ","بتروديس","","1","","CB","","36","","","","",""
"156","KSAR","KS1","KS1-26","N 18°05.8725' W 015°57.7740'","STATION ZEITI","زيتي","","1","","CB","","13","","","","",""
"157","KSAR","KS1","KS1-27","N 18°05.4382' W 015°57.7640'","PATRONAT","ارباب العمل","","1","","CB","","11","","","","",""
"158","KSAR","KS1","KS1-28","N 18°05.8481' W 015°57.3898'","ASECNA","اسكنا","","1","","CB","","15","","","","",""
"159","KSAR","KS1","KS1-29","N 18°06.6043' W 015°57.3162'","HOPITAL MILITAIRE","المستشفى العسكري","","1","","CB","","28","","","","",""
"160","","KS1","KS1-30","N 18°06.0575' W 015°57.6932'","MAIRIE KSAR","بلدية لكصر","1","","","CT","KS1-26","","","","","",""
"161","KSAR","KS2","KS2-1","N 18°06.5013' W 015°57.5909'","Ambassade Quatar","سفارة قطر","","1","","CB","","","5","","","",""
"162","","KS2","KS2-2","N 18°06.6447' W 015°57.7287'","El Bouhayra","البحيرة","","","2","CS (2)","","","","","","","11"
"163","","KS2","KS2-3","N 18°06.6449' W 015°57.9043'","Good Market","حاوية كود ماركت","","","4","CS (4)","","","","","","","13"
"164","KSAR","KS2","KS2-4","N 18°06.2354' W 015°57.1162'","","مشروع مدن خلية التنسيق","","1","","CB","","","3","","","",""
"165","KSAR","KS2","KS2-5","N 18°07.7358' W 015°57.9029'","L'ambassade de Oumane","قبيلة سفارة سلطنة عمان","","1","","CB","","","19","","","",""
"166","KSAR","KS2","KS2-6","N 18°07.5000' W 015°58.1787'","Blue Atlantic","بلو أتلانتيك","","1","","CB","","","17","","","",""
"167","KSAR","KS2","KS2-7","N 18°06.8418' W 015°58.1183'","Zone Zeine Elabidine","منطقة زين العابدين","","1","","CB","","","11","","","",""
"168","KSAR","KS2","KS2-8","N 18°07.1855' W 015°58.3356'","Fouriere Mergharou","فريير أمن الطرق","","1","","CB","","","15","","","",""
"169","KSAR","KS2","KS2-9","N 18°07.0331' W 015°58.4642'","Goudron SNDE","طريق شركة المياه","","1","","CB","","","13","","","",""
"170","KSAR","KS2","KS2-10","N 18°07.6945' W 015°57.7824'","Derriere Atak Elkheir","خلف اتاك الخير","","1","","CB","","","21","","","",""
"171","KSAR","KS2","KS2-11","N 18°07.5424' W 015°57.9388'","Ministere de l'habitat","وزارة الإسكان","","1","","CB","","","25","","","",""
"172","KSAR","KS2","KS2-12","N 18°07.2388' W 015°58.2392'","PHARMACIE ELYSE","صيدلية اليزى","","1","","CB","","","27","","","",""
"173","KSAR","KS2","KS2-13","N 18°06.5891' W 015°58.3059'","Station Petrodis","محطة بتروديس","","1","","CB","","","9","","","",""
"174","KSAR","KS2","KS2-14","N 18°06.4396' W 015°58.0678'","El Moutahidoun","المتحدون","","1","","CB","","","7","","","",""
"175","KSAR","KS2","KS2-15","N 18°07.55069' W 015°57.7294'","Ghasr Ennakhil","قصر النخيل","","1","","CB","","","23","","","",""
"176","KSAR","KS2","KS2-16","N 18°06.6945' W 015°57.7824'","Mosquee Elakhdar ","المسجد الأخضر","","1","","CB","","","1","","","",""
"177","","SEBKHA","SEB-1","N 18°05.3801' W 016°00.4896'","BPM (Maisons a vendre)","منازل للبيع البنك الشعبي الموريتاني","","","3","CS (3)","","","","","11","",""
"178","","SEBKHA","SEB-2","N 18°04.7904' W 016°00.6727'","Epicerie Jaune","ساحة البقالة الصفراء السبخة","","","2","CS (2)","","","","","29","",""
"179","SEBKHA","SEBKHA","SEB-3","N 18°04.7900' W 016°00.6801'","Canal Plus","كانال بليس الكوفة السبخة","","1","","CB","","29","","","","",""
"180","SEBKHA","SEBKHA","SEB-4","N 18°04.3030' W 016°00.5372'","Menuiserie Wagadou","ساحة قبيل منجرة واكادو","","2","","CB (2)","","31","","","","",""
"181","SEBKHA","SEBKHA","SEB-5","N 18°03.8555' W 016°00.4805'","Dispensaire Elbasra","النقطة الصحية البصرة السبخة","","1","","CB","","33","","","","",""
